日付,店舗名,売上金額,客数
2024-01-01,渋谷店,149175,79
2024-01-02,渋谷店,154825,82
2024-01-03,渋谷店,159024,84
2024-01-04,渋谷店,161515,86
2024-01-05,渋谷店,157555,84
2024-01-06,渋谷店,237411,126
2024-01-07,渋谷店,216464,115
2024-01-08,渋谷店,128861,68
2024-01-09,渋谷店,187419,99
2024-01-10,渋谷店,172045,91
2024-01-11,渋谷店,151403,80
2024-01-12,渋谷店,151034,80
2024-01-13,渋谷店,246093,131
2024-01-14,渋谷店,215556,114
2024-01-15,渋谷店,140272,74
2024-01-16,渋谷店,158259,84
2024-01-17,渋谷店,164659,87
2024-01-18,渋谷店,174957,93
2024-01-19,渋谷店,147201,78
2024-01-20,渋谷店,199181,106
2024-01-21,渋谷店,191453,102
2024-01-22,渋谷店,135006,72
2024-01-23,渋谷店,159597,85
2024-01-24,渋谷店,149987,79
2024-01-25,渋谷店,177378,94
2024-01-26,渋谷店,159180,84
2024-01-27,渋谷店,241327,128
2024-01-28,渋谷店,182996,97
2024-01-29,渋谷店,119771,63
2024-01-30,渋谷店,169851,90
2024-01-31,渋谷店,155346,82
2024-02-01,渋谷店,145309,77
2024-02-02,渋谷店,158193,84
2024-02-03,渋谷店,205197,109
2024-02-04,渋谷店,182306,97
2024-02-05,渋谷店,105819,56
2024-02-06,渋谷店,150359,80
2024-02-07,渋谷店,143117,76
2024-02-08,渋谷店,134653,71
2024-02-09,渋谷店,122414,65
2024-02-10,渋谷店,158745,84
2024-02-11,渋谷店,190386,101
2024-02-12,渋谷店,136136,72
2024-02-13,渋谷店,136942,73
2024-02-14,渋谷店,156862,83
2024-02-15,渋谷店,142298,75
2024-02-16,渋谷店,141327,75
2024-02-17,渋谷店,173795,92
2024-02-18,渋谷店,169276,90
2024-02-19,渋谷店,107013,57
2024-02-20,渋谷店,129307,68
2024-02-21,渋谷店,146420,78
2024-02-22,渋谷店,150358,80
2024-02-23,渋谷店,133995,71
