日付,店舗名,売上金額,客数
2025-01-01,新宿店,238371,131
2025-01-02,新宿店,225048,123
2025-01-03,新宿店,201021,110
2025-01-04,新宿店,312514,171
2025-01-05,新宿店,318955,175
2025-01-06,新宿店,204112,112
2025-01-07,新宿店,259954,142
2025-01-08,新宿店,208200,114
2025-01-09,新宿店,202540,111
2025-01-10,新宿店,238263,131
2025-01-11,新宿店,303768,167
2025-01-12,新宿店,317967,174
2025-01-13,新宿店,175639,96
2025-01-14,新宿店,218810,120
2025-01-15,新宿店,250681,137
2025-01-16,新宿店,214491,117
2025-01-17,新宿店,241131,132
2025-01-18,新宿店,340173,187
2025-01-19,新宿店,287425,158
2025-01-20,新宿店,200832,110
2025-01-21,新宿店,234201,128
2025-01-22,新宿店,263612,144
2025-01-23,新宿店,228988,125
2025-01-24,新宿店,201149,110
2025-01-25,新宿店,295151,162
2025-01-26,新宿店,337380,185
2025-01-27,新宿店,175047,96
2025-01-28,新宿店,223039,122
2025-01-29,新宿店,259177,142
2025-01-30,新宿店,250416,137
2025-01-31,新宿店,250989,138
2025-02-01,新宿店,233207,128
2025-02-02,新宿店,279279,153
2025-02-03,新宿店,155831,85
2025-02-04,新宿店,189406,104
2025-02-05,新宿店,209886,115
2025-02-06,新宿店,187333,103
2025-02-07,新宿店,201451,110
2025-02-08,新宿店,234031,128
2025-02-09,新宿店,223083,122
2025-02-10,新宿店,173490,95
2025-02-11,新宿店,173788,95
2025-02-12,新宿店,208293,114
2025-02-13,新宿店,200562,110
2025-02-14,新宿店,169920,93
2025-02-15,新宿店,288907,158
2025-02-16,新宿店,278643,153
2025-02-17,新宿店,163833,90
2025-02-18,新宿店,184805,101
2025-02-19,新宿店,178581,98
2025-02-20,新宿店,204195,112
2025-02-21,新宿店,205302,112
2025-02-22,新宿店,274206,150
2025-02-23,新宿店,281828,155
2025-02-24,新宿店,179971,98
2025-02-25,新宿店,179688,98
2025-02-26,新宿店,220243,121
2025-02-27,新宿店,224003,123
2025-02-28,新宿店,193655,106
2025-03-01,新宿店,278552,153
2025-03-02,新宿店,270710,148
2025-03-03,新宿店,161576,88
2025-03-04,新宿店,201396,110
2025-03-05,新宿店,199385,109
2025-03-06,新宿店,180710,99
2025-03-07,新宿店,240046,132
2025-03-08,新宿店,303062,166
2025-03-09,新宿店,288682,158
2025-03-10,新宿店,158414,87
2025-03-11,新宿店,229165,126
2025-03-12,新宿店,240614,132
2025-03-13,新宿店,235193,129
2025-03-14,新宿店,198549,109
2025-03-15,新宿店,273823,150
2025-03-16,新宿店,240176,132
2025-03-17,新宿店,190875,104
2025-03-18,新宿店,203335,111
2025-03-19,新宿店,184244,101
2025-03-20,新宿店,218217,120
2025-03-21,新宿店,183136,100
2025-03-22,新宿店,310291,170
2025-03-23,新宿店,245985,135
2025-03-24,新宿店,195476,107
2025-03-25,新宿店,234680,129
2025-03-26,新宿店,188428,103
2025-03-27,新宿店,222944,122
2025-03-28,新宿店,230364,126
2025-03-29,新宿店,308744,169
2025-03-30,新宿店,260573,143
2025-03-31,新宿店,191182,105
2025-04-01,新宿店,240815,132
2025-04-02,新宿店,224306,123
2025-04-03,新宿店,218946,120
2025-04-04,新宿店,242222,133
2025-04-05,新宿店,311178,171
2025-04-06,新宿店,247408,136
2025-04-07,新宿店,163769,90
2025-04-08,新宿店,198796,109
2025-04-09,新宿店,222163,122
2025-04-10,新宿店,189760,104
2025-04-11,新宿店,250767,137
2025-04-12,新宿店,293717,161
2025-04-13,新宿店,275717,151
2025-04-14,新宿店,204361,112
2025-04-15,新宿店,233735,128
2025-04-16,新宿店,234021,128
2025-04-17,新宿店,202629,111
2025-04-18,新宿店,195573,107
2025-04-19,新宿店,294438,161
2025-04-20,新宿店,268293,147
2025-04-21,新宿店,202487,111
2025-04-22,新宿店,245771,135
2025-04-23,新宿店,220081,121
2025-04-24,新宿店,249967,137
2025-04-25,新宿店,225946,124
2025-04-26,新宿店,281415,154
2025-04-27,新宿店,271614,149
2025-04-28,新宿店,207188,113
2025-04-29,新宿店,253049,139
2025-04-30,新宿店,250030,137
2025-05-01,新宿店,199942,109
2025-05-02,新宿店,198820,109
2025-05-03,新宿店,287219,157
2025-05-04,新宿店,324200,178
2025-05-05,新宿店,200153,110
2025-05-06,新宿店,206031,113
2025-05-07,新宿店,214295,117
2025-05-08,新宿店,241662,132
2025-05-09,新宿店,225506,124
2025-05-10,新宿店,342644,188
2025-05-11,新宿店,272270,149
2025-05-12,新宿店,225387,123
2025-05-13,新宿店,200174,110
2025-05-14,新宿店,239350,131
2025-05-15,新宿店,237402,130
2025-05-16,新宿店,239257,131
2025-05-17,新宿店,303931,167
2025-05-18,新宿店,325968,179
2025-05-19,新宿店,205678,113
2025-05-20,新宿店,203299,111
2025-05-21,新宿店,234077,128
2025-05-22,新宿店,253681,139
2025-05-23,新宿店,200791,110
2025-05-24,新宿店,328180,180
2025-05-25,新宿店,273020,150
2025-05-26,新宿店,218033,119
2025-05-27,新宿店,205308,112
2025-05-28,新宿店,217896,119
2025-05-29,新宿店,233620,128
2025-05-30,新宿店,226155,124
2025-05-31,新宿店,341782,187
2025-06-01,新宿店,242933,133
2025-06-02,新宿店,192538,105
2025-06-03,新宿店,183431,100
2025-06-04,新宿店,194247,106
2025-06-05,新宿店,208016,114
2025-06-06,新宿店,177761,97
2025-06-07,新宿店,268783,147
2025-06-08,新宿店,252461,138
2025-06-09,新宿店,192025,105
2025-06-10,新宿店,187111,102
2025-06-11,新宿店,185947,102
2025-06-12,新宿店,180383,99
2025-06-13,新宿店,178715,98
2025-06-14,新宿店,239182,131
2025-06-15,新宿店,286503,157
2025-06-16,新宿店,191820,105
2025-06-17,新宿店,177123,97
2025-06-18,新宿店,227204,124
2025-06-19,新宿店,195766,107
2025-06-20,新宿店,216782,119
2025-06-21,新宿店,291364,160
2025-06-22,新宿店,255221,140
2025-06-23,新宿店,184350,101
2025-06-24,新宿店,223362,122
2025-06-25,新宿店,198602,109
2025-06-26,新宿店,191270,105
2025-06-27,新宿店,211410,116
2025-06-28,新宿店,249254,137
2025-06-29,新宿店,252994,139
2025-06-30,新宿店,184438,101
2025-07-01,新宿店,238370,131
2025-07-02,新宿店,181806,99
2025-07-03,新宿店,235071,129
2025-07-04,新宿店,211126,116
2025-07-05,新宿店,237302,130
2025-07-06,新宿店,289889,159
2025-07-07,新宿店,190901,104
2025-07-08,新宿店,215764,118
2025-07-09,新宿店,191493,105
2025-07-10,新宿店,213768,117
2025-07-11,新宿店,193325,106
2025-07-12,新宿店,244867,134
2025-07-13,新宿店,268996,147
2025-07-14,新宿店,190100,104
2025-07-15,新宿店,236423,130
2025-07-16,新宿店,201166,110
2025-07-17,新宿店,188762,103
2025-07-18,新宿店,192281,105
2025-07-19,新宿店,285188,156
2025-07-20,新宿店,295544,162
2025-07-21,新宿店,198063,108
2025-07-22,新宿店,233558,128
2025-07-23,新宿店,193447,106
2025-07-24,新宿店,225961,124
2025-07-25,新宿店,220372,121
2025-07-26,新宿店,253607,139
2025-07-27,新宿店,250843,137
2025-07-28,新宿店,185290,101
2025-07-29,新宿店,235125,129
2025-07-30,新宿店,222134,122
2025-07-31,新宿店,213068,117
2025-08-01,新宿店,187046,102
2025-08-02,新宿店,242831,133
2025-08-03,新宿店,280558,154
2025-08-04,新宿店,141247,77
2025-08-05,新宿店,214583,118
2025-08-06,新宿店,214792,118
2025-08-07,新宿店,210485,115
2025-08-08,新宿店,197389,108
2025-08-09,新宿店,214291,117
2025-08-10,新宿店,280372,154
2025-08-11,新宿店,172676,94
2025-08-12,新宿店,180098,99
2025-08-13,新宿店,181699,99
2025-08-14,新宿店,188923,103
2025-08-15,新宿店,208660,114
2025-08-16,新宿店,256992,141
2025-08-17,新宿店,228862,125
2025-08-18,新宿店,138828,76
2025-08-19,新宿店,164730,90
2025-08-20,新宿店,161096,88
2025-08-21,新宿店,167901,92
2025-08-22,新宿店,187101,102
2025-08-23,新宿店,235488,129
2025-08-24,新宿店,242155,133
2025-08-25,新宿店,175274,96
2025-08-26,新宿店,191282,105
2025-08-27,新宿店,174040,95
2025-08-28,新宿店,201312,110
2025-08-29,新宿店,212420,116
2025-08-30,新宿店,248994,136
2025-08-31,新宿店,213529,117
2025-09-01,新宿店,183785,101
2025-09-02,新宿店,194616,107
2025-09-03,新宿店,184338,101
2025-09-04,新宿店,225482,124
2025-09-05,新宿店,183972,101
2025-09-06,新宿店,295838,162
2025-09-07,新宿店,235309,129
2025-09-08,新宿店,177592,97
2025-09-09,新宿店,228075,125
2025-09-10,新宿店,213342,117
2025-09-11,新宿店,208248,114
2025-09-12,新宿店,202838,111
2025-09-13,新宿店,275192,151
2025-09-14,新宿店,246917,135
2025-09-15,新宿店,196050,107
2025-09-16,新宿店,184297,101
2025-09-17,新宿店,204070,112
2025-09-18,新宿店,195255,107
2025-09-19,新宿店,219004,120
2025-09-20,新宿店,242900,133
2025-09-21,新宿店,246500,135
2025-09-22,新宿店,187342,103
2025-09-23,新宿店,229025,125
2025-09-24,新宿店,194749,107
2025-09-25,新宿店,200593,110
2025-09-26,新宿店,201330,110
2025-09-27,新宿店,269099,148
2025-09-28,新宿店,301185,165
2025-09-29,新宿店,173408,95
2025-09-30,新宿店,235448,129
2025-10-01,新宿店,201369,110
2025-10-02,新宿店,233625,128
2025-10-03,新宿店,230012,126
2025-10-04,新宿店,296802,163
2025-10-05,新宿店,295312,162
2025-10-06,新宿店,198332,109
2025-10-07,新宿店,196721,108
2025-10-08,新宿店,218639,120
2025-10-09,新宿店,210703,115
2025-10-10,新宿店,206236,113
2025-10-11,新宿店,246300,135
2025-10-12,新宿店,319678,175
2025-10-13,新宿店,178398,98
2025-10-14,新宿店,192269,105
2025-10-15,新宿店,196776,108
2025-10-16,新宿店,244582,134
2025-10-17,新宿店,253052,139
2025-10-18,新宿店,322400,177
2025-10-19,新宿店,263993,145
2025-10-20,新宿店,166090,91
2025-10-21,新宿店,239695,131
2025-10-22,新宿店,242735,133
2025-10-23,新宿店,209397,115
2025-10-24,新宿店,196893,108
2025-10-25,新宿店,290243,159
2025-10-26,新宿店,253904,139
2025-10-27,新宿店,168858,92
2025-10-28,新宿店,205270,112
2025-10-29,新宿店,197440,108
2025-10-30,新宿店,205048,112
2025-10-31,新宿店,223386,122
2025-11-01,新宿店,289650,159
2025-11-02,新宿店,293406,161
2025-11-03,新宿店,181726,99
2025-11-04,新宿店,206661,113
2025-11-05,新宿店,222070,122
2025-11-06,新宿店,251361,138
2025-11-07,新宿店,204460,112
2025-11-08,新宿店,313863,172
2025-11-09,新宿店,265797,146
2025-11-10,新宿店,191653,105
2025-11-11,新宿店,231223,127
2025-11-12,新宿店,222228,122
2025-11-13,新宿店,217727,119
2025-11-14,新宿店,247287,136
2025-11-15,新宿店,288981,158
2025-11-16,新宿店,263292,144
2025-11-17,新宿店,210131,115
2025-11-18,新宿店,214326,117
2025-11-19,新宿店,220542,121
2025-11-20,新宿店,257150,141
2025-11-21,新宿店,241942,133
2025-11-22,新宿店,327862,180
2025-11-23,新宿店,263090,144
2025-11-24,新宿店,179207,98
2025-11-25,新宿店,211174,116
2025-11-26,新宿店,235851,129
2025-11-27,新宿店,227792,125
2025-11-28,新宿店,207364,114
2025-11-29,新宿店,282802,155
2025-11-30,新宿店,289973,159
2025-12-01,新宿店,227065,124
2025-12-02,新宿店,302434,166
2025-12-03,新宿店,288218,158
2025-12-04,新宿店,257856,141
2025-12-05,新宿店,243133,133
2025-12-06,新宿店,374748,206
2025-12-07,新宿店,377491,207
2025-12-08,新宿店,227082,124
2025-12-09,新宿店,304617,167
2025-12-10,新宿店,313400,172
2025-12-11,新宿店,273814,150
2025-12-12,新宿店,292497,160
2025-12-13,新宿店,368706,202
2025-12-14,新宿店,357191,196
2025-12-15,新宿店,240794,132
2025-12-16,新宿店,272070,149
2025-12-17,新宿店,239795,131
2025-12-18,新宿店,246605,135
2025-12-19,新宿店,257964,141
2025-12-20,新宿店,326036,179
2025-12-21,新宿店,346058,190
2025-12-22,新宿店,237935,130
2025-12-23,新宿店,293950,161
2025-12-24,新宿店,298383,164
2025-12-25,新宿店,262794,144
2025-12-26,新宿店,243836,134
2025-12-27,新宿店,324288,178
2025-12-28,新宿店,397469,218
2025-12-29,新宿店,225362,123
2025-12-30,新宿店,270687,148
2025-12-31,新宿店,283673,156
